drug1_id,drug2_id,drug1_name,drug2_name,interaction_type
DB13872,DB14028,lormetazepam,nordazepam,risk or severity of adverse effects
DB13867,DB00382,fluticasone,tacrine,risk or severity of adverse effects
DB13783,DB13867,acemetacin,fluticasone,risk or severity of adverse effects
DB00006,DB04865,bivalirudin,omacetaxine mepesuccinate,risk or severity of bleeding
DB00006,DB06401,bazedoxifene,bivalirudin,anticoagulant activities
DB00006,DB13956,bivalirudin,estradiol valerate,anticoagulant activities
DB00706,DB00880,chlorothiazide,tamsulosin,risk or severity of adverse effects
DB00706,DB00876,eprosartan,tamsulosin,risk or severity of adverse effects
DB00706,DB00808,indapamide,tamsulosin,risk or severity of adverse effects
DB00706,DB00796,candesartan cilexetil,tamsulosin,risk or severity of adverse effects
DB00706,DB00790,perindopril,tamsulosin,risk or severity of adverse effects
DB00706,DB00742,mannitol,tamsulosin,risk or severity of adverse effects
DB00706,DB00727,nitroglycerin,tamsulosin,risk or severity of adverse effects
DB00706,DB00722,lisinopril,tamsulosin,risk or severity of adverse effects
DB00706,DB00755,tamsulosin,tretinoin,risk or severity of adverse effects
DB00706,DB01041,tamsulosin,thalidomide,risk or severity of adverse effects
DB00006,DB00686,bivalirudin,pentosan polysulfate,anticoagulant activities
DB00006,DB06287,bivalirudin,temsirolimus,risk or severity of adverse effects
DB00006,DB13954,bivalirudin,estradiol cypionate,anticoagulant activities
DB00006,DB13952,bivalirudin,estradiol acetate,anticoagulant activities
DB00006,DB04573,bivalirudin,estriol,anticoagulant activities
DB00006,DB04575,bivalirudin,quinestrol,anticoagulant activities
DB00006,DB00890,bivalirudin,dienestrol,anticoagulant activities
DB00006,DB00655,bivalirudin,estrone,anticoagulant activities
DB13946,DB01278,pramlintide,testosterone undecanoate,hypoglycemic activities
DB00006,DB00454,bivalirudin,pethidine,risk or severity of adverse effects
DB00006,DB09030,bivalirudin,vorapaxar,risk or severity of adverse effects
DB00006,DB06228,bivalirudin,rivaroxaban,anticoagulant activities
DB00006,DB09075,bivalirudin,edoxaban,anticoagulant activities
DB00006,DB06695,bivalirudin,dabigatran etexilate,anticoagulant activities
DB00006,DB06605,apixaban,bivalirudin,anticoagulant activities
DB13943,DB01278,pramlintide,testosterone cypionate,hypoglycemic activities
DB00006,DB00482,bivalirudin,celecoxib,anticoagulant activities
DB00006,DB00469,bivalirudin,tenoxicam,anticoagulant activities
DB00006,DB00461,bivalirudin,nabumetone,anticoagulant activities
DB00006,DB00337,bivalirudin,pimecrolimus,anticoagulant activities
DB00006,DB00328,bivalirudin,indomethacin,anticoagulant activities
DB00006,DB00244,bivalirudin,mesalazine,anticoagulant activities
DB00006,DB00210,adapalene,bivalirudin,anticoagulant activities
DB00006,DB00179,bivalirudin,masoprocol,anticoagulant activities
DB00006,DB06802,bivalirudin,nepafenac,anticoagulant activities
DB00006,DB00963,bivalirudin,bromfenac,anticoagulant activities
DB00006,DB00712,bivalirudin,flurbiprofen,anticoagulant activities
DB00006,DB00586,bivalirudin,diclofenac,anticoagulant activities
DB00006,DB00465,bivalirudin,ketorolac,anticoagulant activities
DB00006,DB09070,bivalirudin,tibolone,anticoagulant activities
DB00006,DB09211,bivalirudin,limaprost,risk or severity of adverse effects
DB00006,DB06206,bivalirudin,sugammadex,anticoagulant activities
DB00006,DB00812,bivalirudin,phenylbutazone,anticoagulant activities
DB00006,DB00795,bivalirudin,sulfasalazine,anticoagulant activities
DB00006,DB00788,bivalirudin,naproxen,anticoagulant activities
DB00006,DB00784,bivalirudin,mefenamic acid,anticoagulant activities
DB00006,DB00768,bivalirudin,olopatadine,anticoagulant activities
DB00006,DB00749,bivalirudin,etodolac,anticoagulant activities
DB00006,DB00744,bivalirudin,zileuton,anticoagulant activities
DB00006,DB00735,bivalirudin,naftifine,anticoagulant activities
DB00006,DB00688,bivalirudin,mycophenolate mofetil,anticoagulant activities
DB00006,DB00608,bivalirudin,chloroquine,anticoagulant activities
DB00006,DB00605,bivalirudin,sulindac,anticoagulant activities
DB00006,DB00580,bivalirudin,valdecoxib,anticoagulant activities
DB00006,DB00573,bivalirudin,fenoprofen,anticoagulant activities
DB00006,DB00554,bivalirudin,piroxicam,anticoagulant activities
DB00006,DB00533,bivalirudin,rofecoxib,anticoagulant activities
DB00006,DB00500,bivalirudin,tolmetin,anticoagulant activities
DB00006,DB01283,bivalirudin,lumiracoxib,anticoagulant activities
DB00006,DB01250,bivalirudin,olsalazine,anticoagulant activities
DB00006,DB01097,bivalirudin,leflunomide,anticoagulant activities
DB00006,DB01050,bivalirudin,ibuprofen,anticoagulant activities
DB00006,DB01024,bivalirudin,mycophenolic acid,anticoagulant activities
DB00006,DB01014,balsalazide,bivalirudin,anticoagulant activities
DB00006,DB01009,bivalirudin,ketoprofen,anticoagulant activities
DB00006,DB00991,bivalirudin,oxaprozin,anticoagulant activities
DB00006,DB00972,azelastine,bivalirudin,anticoagulant activities
DB00006,DB00945,acetylsalicylic acid,bivalirudin,anticoagulant activities
DB00006,DB00939,bivalirudin,meclofenamic acid,anticoagulant activities
DB00006,DB00936,bivalirudin,salicylic acid,anticoagulant activities
DB00006,DB00870,bivalirudin,suprofen,anticoagulant activities
DB00006,DB00861,bivalirudin,diflunisal,anticoagulant activities
DB00006,DB00821,bivalirudin,carprofen,anticoagulant activities
DB00006,DB00814,bivalirudin,meloxicam,anticoagulant activities
DB00006,DB06736,aceclofenac,bivalirudin,anticoagulant activities
DB00006,DB06725,bivalirudin,lornoxicam,anticoagulant activities
DB00006,DB06196,bivalirudin,icatibant,anticoagulant activities
DB00006,DB05676,apremilast,bivalirudin,anticoagulant activities
DB00006,DB04951,bivalirudin,pirfenidone,anticoagulant activities
DB00006,DB04817,bivalirudin,metamizole,anticoagulant activities
DB00006,DB04743,bivalirudin,nimesulide,anticoagulant activities
DB00006,DB04552,bivalirudin,niflumic acid,anticoagulant activities
DB00006,DB03585,bivalirudin,oxyphenbutazone,anticoagulant activities
DB00006,DB02709,bivalirudin,resveratrol,anticoagulant activities
DB00006,DB01628,bivalirudin,etoricoxib,anticoagulant activities
DB00006,DB01600,bivalirudin,tiaprofenic acid,anticoagulant activities
DB00006,DB01435,antipyrine,bivalirudin,anticoagulant activities
DB00006,DB01401,bivalirudin,choline magnesium trisalicylate,anticoagulant activities
DB00006,DB01399,bivalirudin,salsalate,anticoagulant activities
DB00006,DB01397,bivalirudin,magnesium salicylate,anticoagulant activities
DB00006,DB12598,bivalirudin,nafamostat,anticoagulant activities
DB00006,DB11672,bivalirudin,curcumin,anticoagulant activities
DB00006,DB09288,bivalirudin,propacetamol,anticoagulant activities
DB00006,DB09218,bivalirudin,clonixin,anticoagulant activities
DB00006,DB09216,bivalirudin,tolfenamic acid,anticoagulant activities
DB00006,DB09212,bivalirudin,loxoprofen,anticoagulant activities
DB00006,DB08991,bivalirudin,epirizole,anticoagulant activities
DB00006,DB08984,bivalirudin,etofenamate,anticoagulant activities
DB00006,DB08981,bivalirudin,fenbufen,anticoagulant activities
DB00006,DB08976,bivalirudin,floctafenine,anticoagulant activities
DB00006,DB08880,bivalirudin,teriflunomide,anticoagulant activities
DB00006,DB08797,bivalirudin,salicylamide,anticoagulant activities
DB00006,DB08439,bivalirudin,parecoxib,anticoagulant activities
DB00006,DB07615,bivalirudin,tranilast,anticoagulant activities
DB00006,DB06739,bivalirudin,seratrodast,anticoagulant activities
DB00006,DB06737,bivalirudin,zaltoprofen,anticoagulant activities
DB00006,DB06154,bivalirudin,pentaerythritol tetranitrate,anticoagulant activities
DB00006,DB04898,bivalirudin,ximelagatran,anticoagulant activities
DB00006,DB04272,bivalirudin,citric acid,anticoagulant activities
DB00006,DB01418,acenocoumarol,bivalirudin,anticoagulant activities
DB00006,DB00974,bivalirudin,edetic acid,anticoagulant activities
DB00006,DB00946,bivalirudin,phenprocoumon,anticoagulant activities
DB00006,DB00682,bivalirudin,warfarin,anticoagulant activities
DB00006,DB00569,bivalirudin,fondaparinux sodium,anticoagulant activities
DB00006,DB00498,bivalirudin,phenindione,anticoagulant activities
DB00006,DB00278,argatroban,bivalirudin,anticoagulant activities
DB00006,DB00266,bivalirudin,dicoumarol,anticoagulant activities
DB00006,DB00163,bivalirudin,vitamin e,anticoagulant activities
DB00006,DB09084,benzydamine,bivalirudin,anticoagulant activities
DB00006,DB13346,bivalirudin,bufexamac,anticoagulant activities
DB00006,DB13167,alclofenac,bivalirudin,anticoagulant activities
DB00006,DB13063,bivalirudin,parthenolide,anticoagulant activities
DB00006,DB00975,bivalirudin,dipyridamole,anticoagulant activities
DB00006,DB00758,bivalirudin,clopidogrel,anticoagulant activities
DB00006,DB00374,bivalirudin,treprostinil,anticoagulant activities
DB00006,DB00412,bivalirudin,rosiglitazone,anticoagulant activities
DB00006,DB00261,anagrelide,bivalirudin,anticoagulant activities
DB00006,DB01166,bivalirudin,cilostazol,anticoagulant activities
DB00006,DB00775,bivalirudin,tirofiban,anticoagulant activities
DB00006,DB00208,bivalirudin,ticlopidine,anticoagulant activities
DB00006,DB11079,bivalirudin,trolamine salicylate,anticoagulant activities
DB00006,DB09543,bivalirudin,methyl salicylate,anticoagulant activities
DB00006,DB06807,bivalirudin,phenyl aminosalicylate,anticoagulant activities
DB00006,DB00233,aminosalicylic acid,bivalirudin,anticoagulant activities
DB00006,DB09154,bivalirudin,sodium citrate,anticoagulant activities
DB00006,DB09125,bivalirudin,potassium citrate,anticoagulant activities
DB00006,DB13136,bivalirudin,fluindione,anticoagulant activities
DB00006,DB11268,bivalirudin,protocatechualdehyde,anticoagulant activities
DB00006,DB08887,bivalirudin,icosapent ethyl,anticoagulant activities
DB00006,DB05266,bivalirudin,ibudilast,anticoagulant activities
DB00006,DB01236,bivalirudin,sevoflurane,anticoagulant activities
DB00006,DB01207,bivalirudin,ridogrel,anticoagulant activities
DB00006,DB00806,bivalirudin,pentoxifylline,anticoagulant activities
DB00006,DB00770,alprostadil,bivalirudin,anticoagulant activities
DB00006,DB00751,bivalirudin,epinastine,anticoagulant activities
DB00006,DB00235,bivalirudin,milrinone,anticoagulant activities
DB00006,DB11362,bivalirudin,selexipag,anticoagulant activities
DB00006,DB08994,bivalirudin,ditazole,anticoagulant activities
DB00006,DB08816,bivalirudin,ticagrelor,anticoagulant activities
DB00006,DB08814,bivalirudin,triflusal,anticoagulant activities
DB00006,DB06441,bivalirudin,cangrelor,anticoagulant activities
DB00006,DB06209,bivalirudin,prasugrel,anticoagulant activities
DB00006,DB01240,bivalirudin,epoprostenol,anticoagulant activities
DB00006,DB01088,bivalirudin,iloprost,anticoagulant activities
DB13158,DB13783,acemetacin,clobetasone,risk or severity of adverse effects
DB13158,DB13346,bufexamac,clobetasone,risk or severity of adverse effects
DB13158,DB13167,alclofenac,clobetasone,risk or severity of adverse effects
DB13158,DB00382,clobetasone,tacrine,risk or severity of adverse effects
DB13139,DB13345,dihydroergocristine,levosalbutamol,risk or severity of adverse effects
DB13323,DB14028,nordazepam,trichloroethylene,risk or severity of adverse effects
DB13323,DB13872,lormetazepam,trichloroethylene,risk or severity of adverse effects
DB13259,DB14028,ethyl chloride,nordazepam,risk or severity of adverse effects
DB13259,DB13872,ethyl chloride,lormetazepam,risk or severity of adverse effects
DB13259,DB13323,ethyl chloride,trichloroethylene,risk or severity of adverse effects
DB13179,DB13345,dihydroergocristine,troleandomycin,risk or severity of adverse effects
DB13167,DB13867,alclofenac,fluticasone,risk or severity of adverse effects
DB13167,DB13783,acemetacin,alclofenac,risk or severity of adverse effects
DB13167,DB13346,alclofenac,bufexamac,risk or severity of adverse effects
DB00006,DB09283,bivalirudin,trapidil,anticoagulant activities
DB00006,DB08954,bivalirudin,ifenprodil,anticoagulant activities
DB13025,DB14028,nordazepam,tiapride,risk or severity of adverse effects
DB13025,DB13872,lormetazepam,tiapride,risk or severity of adverse effects
DB13025,DB13323,tiapride,trichloroethylene,risk or severity of adverse effects
DB13025,DB13259,ethyl chloride,tiapride,risk or severity of adverse effects
DB13136,DB13346,bufexamac,fluindione,anticoagulant activities
DB13136,DB13167,alclofenac,fluindione,anticoagulant activities
DB13136,DB13682,cefpirome,fluindione,anticoagulant activities
DB13136,DB13981,fluindione,nomegestrol acetate,anticoagulant activities
DB13136,DB13956,estradiol valerate,fluindione,anticoagulant activities
DB13136,DB13954,estradiol cypionate,fluindione,anticoagulant activities
DB13136,DB13952,estradiol acetate,fluindione,anticoagulant activities
DB13136,DB13873,fenofibric acid,fluindione,anticoagulant activities
DB13136,DB13783,acemetacin,fluindione,risk or severity of bleeding
DB13116,DB14028,nordazepam,norflurane,risk or severity of adverse effects
DB13116,DB13872,lormetazepam,norflurane,risk or severity of adverse effects
DB13116,DB13323,norflurane,trichloroethylene,risk or severity of adverse effects
DB12710,DB14028,nordazepam,perazine,risk or severity of adverse effects
DB12710,DB13872,lormetazepam,perazine,risk or severity of adverse effects
DB12710,DB13323,perazine,trichloroethylene,risk or severity of adverse effects
DB12710,DB13259,ethyl chloride,perazine,risk or severity of adverse effects
DB12710,DB13116,norflurane,perazine,risk or severity of adverse effects
DB12710,DB13025,perazine,tiapride,risk or severity of adverse effects
DB12710,DB12867,benperidol,perazine,risk or severity of adverse effects
DB13116,DB13259,ethyl chloride,norflurane,risk or severity of adverse effects
DB13114,DB13139,amitriptylinoxide,levosalbutamol,risk or severity of adverse effects
DB13114,DB13136,amitriptylinoxide,fluindione,anticoagulant activities
DB13063,DB13167,alclofenac,parthenolide,risk or severity of adverse effects
DB13063,DB13867,fluticasone,parthenolide,risk or severity of adverse effects
DB13063,DB13158,clobetasone,parthenolide,risk or severity of adverse effects
DB13063,DB13136,fluindione,parthenolide,anticoagulant activities
DB13063,DB13783,acemetacin,parthenolide,risk or severity of adverse effects
DB13063,DB13346,bufexamac,parthenolide,risk or severity of adverse effects
DB12615,DB13682,cefpirome,plazomicin,nephrotoxic activities
DB12615,DB00447,loracarbef,plazomicin,nephrotoxic activities
DB12598,DB13867,fluticasone,nafamostat,risk or severity of adverse effects
DB12598,DB13158,clobetasone,nafamostat,risk or severity of adverse effects
DB12598,DB13167,alclofenac,nafamostat,anticoagulant activities
DB12598,DB13063,nafamostat,parthenolide,anticoagulant activities
DB12598,DB13136,fluindione,nafamostat,anticoagulant activities
DB12598,DB13956,estradiol valerate,nafamostat,anticoagulant activities
DB12598,DB13954,estradiol cypionate,nafamostat,anticoagulant activities
DB13025,DB13116,norflurane,tiapride,risk or severity of adverse effects
DB12867,DB14028,benperidol,nordazepam,risk or severity of adverse effects
DB12867,DB13872,benperidol,lormetazepam,risk or severity of adverse effects
DB12867,DB13323,benperidol,trichloroethylene,risk or severity of adverse effects
DB12867,DB13259,benperidol,ethyl chloride,risk or severity of adverse effects
DB12867,DB13116,benperidol,norflurane,risk or severity of adverse effects
DB12867,DB13025,benperidol,tiapride,risk or severity of adverse effects
DB12492,DB13323,piritramide,trichloroethylene,risk or severity of adverse effects
DB12492,DB13259,ethyl chloride,piritramide,risk or severity of adverse effects
DB12492,DB13116,norflurane,piritramide,risk or severity of adverse effects
DB12492,DB13025,piritramide,tiapride,risk or severity of adverse effects
DB12492,DB12867,benperidol,piritramide,risk or severity of adverse effects
DB12492,DB12710,perazine,piritramide,risk or severity of adverse effects
DB12492,DB14018,bromotheophylline,piritramide,risk or severity of adverse effects
DB12492,DB13532,cyclopenthiazide,piritramide,risk or severity of adverse effects
DB00014,DB01396,digitoxin,goserelin,cardiotoxic activities
DB00014,DB01092,goserelin,ouabain,cardiotoxic activities
DB00014,DB01078,deslanoside,goserelin,cardiotoxic activities
DB00014,DB00511,acetyldigitoxin,goserelin,cardiotoxic activities
DB00014,DB00390,digoxin,goserelin,cardiotoxic activities
DB00014,DB06772,cabazitaxel,goserelin,risk or severity of adverse effects
DB00014,DB01248,docetaxel,goserelin,risk or severity of adverse effects
DB00014,DB01229,goserelin,paclitaxel,risk or severity of adverse effects
DB12401,DB12867,benperidol,bromperidol,risk or severity of adverse effects
DB12401,DB12710,bromperidol,perazine,risk or severity of adverse effects
DB12401,DB12492,bromperidol,piritramide,risk or severity of adverse effects
DB12364,DB13783,acemetacin,betrixaban,risk or severity of bleeding
DB12364,DB13346,betrixaban,bufexamac,risk or severity of bleeding
DB12364,DB13167,alclofenac,betrixaban,risk or severity of bleeding
DB12364,DB13063,betrixaban,parthenolide,risk or severity of bleeding
DB12364,DB12598,betrixaban,nafamostat,risk or severity of bleeding
DB12332,DB13345,dihydroergocristine,rucaparib,risk or severity of adverse effects
DB00014,DB00531,cyclophosphamide,goserelin,cardiotoxic activities
DB12598,DB13952,estradiol acetate,nafamostat,anticoagulant activities
DB12598,DB13783,acemetacin,nafamostat,risk or severity of adverse effects
DB12598,DB13346,bufexamac,nafamostat,risk or severity of adverse effects
DB12532,DB13345,dihydroergocristine,oxetacaine,risk or severity of adverse effects
