LOINC_NUM,LONG_COMMON_NAME,reference_fact
30898-1,Plasma volume by Scintigraphy,Test: Plasma volume | System: ^Patient | Units: mL | Info: Total plasma volume determined using Iodine-125 labeled human serum albumin
13678-8,Alpha ketoglutarate/Creatinine [Mass Ratio] in Urine,Test: Alpha ketoglutarate/Creatinine | System: Urine | Units: mg/g creatinine | Info: 2-oxoglutarate & alpha ketoglutarate are the same thing
1990-1,Cholecalciferol (Vit D3) [Mass/volume] in Serum or Plasma,Test: Cholecalciferol | System: Ser/Plas | Units: ng/mL | Info: Vitamin D
30899-9,Blood volume by Scintigraphy,Test: Blood volume | System: ^Patient | Units: mL | Info: Total Blood Volume = Erythrocyte Volume + Plasma Volume
3050-2,Triiodothyronine resin uptake (T3RU) in Serum or Plasma,Test: Triiodothyronine resin uptake (T3RU) | System: Ser/Plas | Units: % | Info: Resin & T3 added to patient serum. Proportion of tracer bound by solid matrix measured. Result for p
33877-2,Tetrahydrobiopterin/Biopterin in Urine,"Test: Tetrahydrobiopterin/Biopterin | System: Urine | Units: umol/umol | Info: A low %BH4 is characteristic of dihydropteridine reductase deficiency, which leads to phenylalanine "
14629-0,Bilirubin.direct [Moles/volume] in Serum or Plasma,"Test: Bilirubin.glucuronidated+Bilirubin.albumin bound | System: Ser/Plas | Units: umol/L | Info: Except when measured by differential light absorption, direct bilirubin included glucuronidated and "
14630-8,Bilirubin.indirect [Moles/volume] in Serum or Plasma,Test: Bilirubin.non-glucuronidated | System: Ser/Plas | Units: umol/L | Info: Method can be WET CHEMISTRY or DRY SLIDE (Bu)
14631-6,Bilirubin.total [Moles/volume] in Serum or Plasma,"Test: Bilirubin | System: Ser/Plas | Units: umol/L | Info: Method can be DIRECT SPECTOPHOTOMETRY, WET CHEMISTRY or DRY SLIDE (TBIL)"
2535-3,Lactate dehydrogenase 1 [Enzymatic activity/volume] in Serum or Plasma by Chemical separation,Test: Lactate dehydrogenase 1 | System: Ser/Plas | Units: arb U/L | Info: What is this methodology as chemical?
2280-6,Fibronectin [Mass/volume] in Plasma,Test: Fibronectin | System: Plas | Units: ug/mL | Info: I found this measured on ascitic fluid
2281-4,Flavin adenine dinucleotide [Mass/volume] in Serum,Test: Flavin adenine dinucleotide | System: Ser | Units: mg/L | Info: ?Used in test procedure - is this measurable
33225-4,Fine Granular Casts [#/area] in Urine sediment by Automated count,Test: Granular casts.fine | System: Urine sed | Units: /HPF | Info: Automated counters measure the number concentration directly and calculate values for the per HPF (o
104801-6,Beta globulin [Mass/volume] in Serum or Plasma,Test: Beta globulin | System: Ser/Plas | Units: mg/L | Info: A test for Beta globulin in serum or plasma via any electrophoresis method.  A parent code for those
104805-7,Creatinine renal clearance predicted,Test: Creatinine renal clearance.predicted | System: Ser/Plas | Units: mL/min | Info: A test for Creatinine renal clearance. predicted in serum or plasma via any method.   A parent code 
104812-3,Base excess in Venous cord blood,Test: Base excess | System: BldCoV | Units: mmol/L | Info: A base excess in venous cord blood used as a parent code for those with pre-coordinated methods.
104813-1,Gamma globulin [Mass/volume] in Serum or Plasma,Test: Gamma globulin | System: Ser/Plas | Units: mg/L | Info: A test for Gamma globulin in serum or plasma via any method.  A parent code for those with pre-coord
26904-3,2-Methylcitrate [Moles/volume] in Serum or Plasma,Test: 2-Methylcitrate | System: Ser/Plas | Units: nmol/L | Info: same as methylcitrate
104816-4,Beta hydroxybutyrate [Moles/volume] in Blood,Test: Beta hydroxybutyrate | System: Bld | Units: mmol/L | Info: A test for the presence of Beta hydroxybutyrate in urine.  This is a parent code for those with pre-
42727-8,Fibrin D-dimer [Mass/volume] in Cerebral spinal fluid by Latex agglutination,"Test: Fibrin D-dimer | System: CSF | Units: ug/L | Info: The CSF assay is a manual, semiquantitative, slide latex agglutination assay. One of three results a"
21582-2,Tryptase [Mass/volume] in Serum or Plasma,Test: Tryptase | System: Ser/Plas | Units: ug/L;ng/mL | Info: Tryptase is a neutral protease sored in secretory granules of mast cells
2120-4,Chylomicrons [Mass/volume] in Serum or Plasma,Test: Chylomicrons | System: Ser/Plas | Units: mg/dL | Info: Is this QN as in lipoprotein electrophoresis? Need QL by observation.
30919-5,Iron [Mass/volume] in Urine collected for unspecified duration,Test: Iron | System: Urine | Units: ug/L | Info: Urine Test result for timed intervals other than 24H or Random.
100842-4,Nonalcoholic steatohepatitis score in Serum or Plasma Calculated by FAST,Test: Nonalcoholic steatohepatitis score | System: Ser/Plas | Units: score | Info: Fast  is a score used by healthcare professionals to aid in the identification of patients with susp
100843-2,Liver fibrosis score in Serum or Plasma by Calculated.Agile3+,Test: Liver fibrosis score | System: Ser/Plas | Units: score | Info: Agile is a set of scores estimating the degree of liver fibrosis in patients with suspicion of nonal
30922-9,Magnesium [Mass/volume] in Urine collected for unspecified duration,Test: Magnesium | System: Urine | Units: mg/L | Info: Urine Test result for timed intervals other than 24H or Random.
14116-8,IgG synthesis rate [Mass/time] in Serum and CSF by calculation,"Test: IgG synthesis rate | System: Ser+CSF | Units: mg/24 H | Info: IgG synthesis expresses the synthesis of IgG inside the blood brain barrier, in mg/day, calculated w"
100978-6,Thyroxine.free.gestational [Moles/volume] in Serum or Plasma by Immunoassay,"Test: Thyroxine.free.gestational | System: Ser/Plas | Units: pmol/L | Info: During pregnancy, a two-step immunoassay procedure which involves an extra step to remove interferin"
22695-1,Carnitine/Creatinine [Molar ratio] in Urine,"Test: Carnitine/Creatinine | System: Urine | Units: umol/mol creatinine | Info: ""Carnitine"" is an alternative way to say total carnitines which = free carnitine + acylcarnitines, o"
2462-0,IgE [Mass/volume] in Serum,"Test: IgE | System: Ser | Units: ug/L | Info: Most laboratories report in terms of international units, not mass.  Double check with your source l"
31157-1,Carboxyhemoglobin [Mass/volume] in Blood,"Test: Carboxyhemoglobin | System: Bld | Units: g/dL | Info: Requester confirmed that this is g/dL, not saturation."
18261-8,Cholesterol in LDL [Mass/volume] in Serum or Plasma ultracentrifugate,Test: Cholesterol.in LDL | System: Ser/Plas.ultracentrifugate | Units: mg/dL | Info: This method is used to calculate LDL in specimens that have a triglyceride value greater that 400 mL
14149-9,Corticotropin Big Fragment [Mass/volume] in Serum or Plasma,Test: Corticotropin.big fragment | System: Ser/Plas | Units: pg/mL | Info: High molecular wt fragment of ACTH; high levels found in ectopic tumor syndrome and certain malignan
33227-0,Coarse Granular Casts [#/area] in Urine sediment by Automated count,Test: Granular casts.coarse | System: Urine sed | Units: /HPF | Info: Automated counters measure the number concentration directly and calculate values for the per HPF (o
14152-3,Bilirubin.direct [Mass/volume] in Body fluid,"Test: Bilirubin.glucuronidated+Bilirubin.albumin bound | System: Body fld | Units: mg/dL | Info: Except when measured by differential light absorption, direct bilirubin included glucuronidated and "
18263-4,Cholesterol in HDL [Mass/volume] in Serum or Plasma ultracentrifugate,Test: Cholesterol.in HDL | System: Ser/Plas.ultracentrifugate | Units: mg/dL | Info: This method is used to calculate HDL in specimens that have a triglyceride value greater that 400 mg
2793-8,Phosphofructokinase F subunit/Phosphofructokinase.total in Platelets,Test: Phosphofructokinase.F subunit/Phosphofructokinase.total | System: Platelets | Units: % | Info: NFR is probably not the right property. These are probably not being tested as fractions of total ph
3059-3,Trypsin [Enzymatic activity/volume] in Duodenal fluid,Test: Trypsin | System: Duod fld | Units: arb U/L | Info: Trypsin is an enzyme that catalyses the cleavage of peptide linkages involving carboxy group of eith
30934-4,Natriuretic peptide B [Mass/volume] in Serum or Plasma,Test: Natriuretic peptide.B | System: Ser/Plas | Units: ng/L;pg/mL | Info: Test kit allows the use of whole blood as well as plasma - RBCs are filtered out and the test is per
33768-3,Leukocyte clumps [#/volume] in Urine by Automated count,Test: Leukocyte clumps | System: Urine | Units: /uL | Info: Automated counters measure the number concentration directly and calculate values for the per HPF (o
14678-7,Cortisol [Moles/volume] in Serum or Plasma --PM trough specimen,Test: Cortisol^PM trough specimen | System: Ser/Plas | Units: nmol/L | Info: Identifies an evening specimen when cortisol is at its lowest point in a circadian cycle -often cons
14679-5,Cortisol [Moles/volume] in Serum or Plasma --AM peak specimen,Test: Cortisol^AM peak specimen | System: Ser/Plas | Units: nmol/L | Info: Identifies a morning specimen when cortisol is at its highest point in a circadian cycle - often con
2794-6,Phosphofructokinase F subunit/Phosphofructokinase.total in Leukocytes,Test: Phosphofructokinase.F subunit/Phosphofructokinase.total | System: WBC | Units: % | Info: NFR is probably not the right property. These are probably not being tested as fractions of total ph
