sample_name,rougeL_raw,rougeL_styled,rougeL_aligned,reference_section_count,generated_section_count,styled_section_count,aligned_section_count,semantic_similarity_raw,semantic_similarity_styled,semantic_similarity_aligned
sample_10,0.29605963791267303,0.2828282828282828,0.5181598062953995,6,5,5,4,0.7971151658714956,0.7766188995606281,0.8319746163983737
sample_11,0.30866807610993663,0.3057851239669422,0.7267605633802816,5,4,5,3,0.6656592375383865,0.6670453631656664,0.8491693878667831
sample_12,0.31446540880503143,0.3217665615141956,0.6267605633802817,6,6,7,5,0.7202200518874217,0.7581994292014448,0.821009668090885
sample_13,0.2740841248303935,0.2920110192837465,0.5639445300462249,8,5,6,6,0.5800981628955366,0.593829054524409,0.6710695847574266
sample_14,0.29508196721311475,0.28905109489051095,0.6423841059602649,7,4,5,4,0.6032835980100986,0.6564981563292526,0.7341130965729642
sample_15,0.3018242122719734,0.3038397328881469,0.6369168356997972,6,5,6,4,0.580627730478335,0.591416309252781,0.7093192245957901
sample_16,0.30078125,0.3184466019417476,0.6119733924611974,7,4,5,4,0.7110010835852791,0.7425413552507658,0.8113879803178909
sample_17,0.13748191027496381,0.2913719943422914,0.6806883365200764,6,3,6,5,0.29184060147984003,0.6109798815085941,0.7294181776327088
sample_18,0.21108580106302202,0.38198198198198197,0.720183486238532,7,7,6,5,0.48145787951451574,0.6155906044715079,0.7666806030763306
sample_19,0.2870568133276377,0.26509803921568625,0.5621251071122536,8,6,7,7,0.5834820989735046,0.6229401417054946,0.6539859199106479
sample_1,0.23869346733668345,0.25728155339805825,0.5238744884038199,8,7,7,7,0.5559037909123882,0.6565107480395723,0.7554150727552789
sample_20,0.16400625978090766,0.2633928571428571,0.6289473684210526,7,5,7,6,0.42014182095602476,0.6632114024604373,0.7628914171843199
sample_2,0.32304038004750596,0.3243243243243243,0.7210031347962382,8,7,5,4,0.5789139291019378,0.6327962695208337,0.8007758488028479
sample_3,0.24875621890547267,0.26282853566958697,0.5340751043115438,7,5,6,6,0.5171730490926415,0.5232463198269572,0.6132610339398388
sample_4,0.22043010752688175,0.22043010752688175,0.4870624048706241,7,6,6,6,0.5212898112205191,0.5212898112205191,0.6564238650147631
sample_5,0.3167155425219942,0.3556851311953353,0.7220216606498194,8,6,5,4,0.5827451265190471,0.6468811312301294,0.7522315199814018
sample_6,0.22115384615384617,0.22712933753943218,0.5918367346938774,5,6,6,3,0.44336839313863796,0.48777657277366715,0.6626172024870831
sample_7,0.2817204301075269,0.2841993637327678,0.5508274231678487,6,7,7,5,0.7284278002698152,0.7372858692048236,0.7995623807672602
sample_8,0.22136422136422138,0.22306717363751585,0.45114942528735635,7,6,6,3,0.5109825999645664,0.5764085091729688,0.6869554736848221
sample_9,0.24797843665768193,0.25000000000000006,0.5110782865583456,5,5,6,5,0.6791788694151588,0.7140884800951872,0.8128330662613069
